Url, News_Title ,Author,Publish date,Category, Body Stracture , Stracture_Summary,Image of the news ,site
https://thealike.com/, " The release date of Dakghar web series has been revealed " , by Sahil verma , "February 19/ 2023" , Bollywood, body --> div --> div --> div --> div --> div --> section --> div --> div --> div --> div --> div --> div --> div --> article --> div ,"New pair equation on the web screen again. The poster of Ditipriya Roy and Suhotra Mukhopadhyay's new series 'Dakghar' has been released. This series will be released on the web platform of 'Hiichi'. A collage of facts and stories was released earlier. In the poster however the tone...", image/gif;base64 R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw== , https://thealike.com/blog/the-release-date-of-dakghar-web-series-has-been-revealed/
https://www.minnpost.com/ , "Black Minnesotans disproportionately affected by environmental pollutants" ,By Ava Kian,"Feb 17 / 2023",News : Race & Health Equity, body --> div --> main --> div --> section --> article --> div --> header , "Black people are 42% more likely than whites to have asthma and have a mortality rate from asthma 2.8 times that of white people according to data from the American Lung Association.", https://www.minnpost.com/wp-content/themes/minnpost-largo/assets/img/logo.png , https://www.minnpost.com/race-health-equity/2023/02/black-minnesotans-disproportionately-affected-by-environmental-pollutants/
https://www.minnpost.com/ , "Much of Minnesota in for a big snow this week with double-digit totals possible" ,By Brian Lambert,"Feb 20 / 2023", News : The Glean, body --> div --> main --> div --> section --> section --> article --> div --> header ,"Plus: Drought conditions disappear from central Minnesota; South Dakota parents with transgender kids wonder what’s next; Hennepin County looks to add more road designs to prevent deaths; and more.", https://www.minnpost.com/wp-content/uploads/2023/02/ZharaDanelleDooleyThumb.jpg?fit=400%2C265&strip=all , https://www.minnpost.com/glean/2023/02/much-of-minnesota-in-for-a-big-snow-this-week-with-double-digit-totals-possible/
https://www.minnpost.com/ , " For years, St. Paul took a hands-off approach to trash collection. Now, the city might start buying garbage trucks" ,By Kyle Stokes ,"Feb 17/ 2023",News: Metro , body --> div --> main --> div --> section --> article --> div --> header ,"The city council’s vote this week highlights just how much St. Paul has changed on this issue in a short amount of time.", https://www.minnpost.com/wp-content/uploads/2023/02/ZharaDanelleDooleyThumb.jpg?fit=400%2C265&strip=all , https://www.minnpost.com/metro/2023/02/for-years-st-paul-took-a-hands-off-approach-to-trash-collection-now-the-city-might-start-buying-garbage-trucks/     
https://www.minnpost.com/ , " How small city utilities are grappling with Minnesota’s new 100% carbon-free standard",By Walker Orenstein,"Feb 17/ 2023",News : Environment, body --> div --> main --> div --> section --> article --> div --> header,"Hibbing has a biomass plant, while Princeton has backup diesel generators. Could they and other city utilities be forced to find alternative power sources?" , https://www.minnpost.com/wp-content/uploads/2023/02/GarbageTruckExitingAlleyThumb.png?fit=400%2C265&strip=all , https://www.minnpost.com/environment/2023/02/how-small-city-utilities-are-grappling-with-minnesotas-new-100-carbon-free-standard/
https://www.minnpost.com/ , " D.C. Memo: Angie Craig attacked again, this time by threatening calls" ,By Ana Radelat,"Feb 17/ 2023",News : D.C. Memo, body --> div --> main --> div --> section --> article --> div --> header ,"Plus: D.C. has ballooning problem, Craig travels to southern border to spar with GOP about fentanyl.", https://www.minnpost.com/wp-content/uploads/2023/02/HibbingPowerPlantThumb.png?fit=400%2C265&strip=all , https://www.minnpost.com/dc-memo/2023/02/d-c-memo-angie-craig-attacked-again-this-time-by-threatening-calls/
https://www.minnpost.com/ , " Minnesota lawmakers might have fix for identifying high-needs schools if universal lunch passes",By Peter Callaghan,"Feb 16/ 2023",News : State Government, body --> div --> main --> div --> section --> article --> div --> header ,"The Legislature is expected to approve funding to provide all Minnesota students with lunch and breakfast, but lawmakers needed to find a new way to identify high-needs schools for additional aid.", https://www.minnpost.com/wp-content/uploads/2023/02/AngieCraigInterviewThumb.jpg?fit=400%2C265&strip=all , https://www.minnpost.com/state-government/2023/02/minnesota-lawmakers-might-have-fix-for-identifying-high-needs-schools-if-universal-lunch-passes/
https://www.minnpost.com/ , "How is Brooke Cunningham’s work with health equity serving her as new commissioner of the Minnesota Department of Health?" ,By Ava Kian,"Feb 16/ 2023",News Race & Health Equity,body --> div --> main --> div --> section --> article --> div --> header ,"The former head of the Health Equity Bureau was appointed by Gov. Tim Walz as commissioner of the Minnesota Department of Health.", https://www.minnpost.com/wp-content/uploads/2022/12/StillwaterAreaSchoolLunchThumbb.png?fit=400%2C265&strip=all , https://www.minnpost.com/race-health-equity/2023/02/how-is-brooke-cunninghams-work-with-health-equity-serving-her-as-new-commissioner-of-the-minnesota-department-of-health/
https://www.minnpost.com/ , "Weekend Picks: Riot Act Reading Series; reconnecting through art; Southern California style",By Sheila Regan, "Feb 16/ 2023" ,Arts & Culture Artscape, body --> div --> main --> div --> section --> article --> div --> header,"Plus: New music via the Cedar Commissions; U of M apparel design showcase; play takes on the pandemic era; and more.",https://www.minnpost.com/wp-content/uploads/2023/02/BrookeCunningham0223_Thumb.jpg?fit=400%2C265&strip=all , https://www.minnpost.com/artscape/2023/02/weekend-picks-riot-act-reading-series-reconnecting-through-art-southern-california-style/
https://www.minnpost.com/ , "At least 100,000 low-income Minnesotans on Medicaid could lose coverage as federal COVID rules wind down",By Peter Callaghan,"Feb 10/ 2023",News : State Government, body --> div --> main --> div --> aside --> section --> div --> ul --> li --> header , None ,https://www.minnpost.com/wp-content/uploads/2023/02/DoctorPatientStethoscopeThumb.png?resize=190%2C125&strip=all , https://www.minnpost.com/state-government/2023/02/at-least-100000-low-income-minnesotans-on-medicaid-could-lose-coverage-as-federal-covid-rules-wind-down/
